id,type,text1,text2,text3,notes,Column 07
#YWY SHIPS,,,,,,
ywy_teufu-ji_ffgd_base,SHIP,"""It,"" the project lead slammed his fist on the table, teeth bared and gritted for the rest of the company staff to see, ""was never meant to be on a battlefield. For the Gates' sake, its a damn testbed, an experiment! What the hell did you expect when it had to go up against a Tri-Tach taskforce? This isn't a bloody cartoon where the prototypes win the day, instead we just gave the bluesuits some of the Yards' own trade secrets.""

The rest of the company staff did not say anything against the project lead's rant. He was right, of course. While the experimental drone frigate was designed as a warship, it was meant to be deployed in a controlled and simulated environment - a way to test and troubleshoot experimental weapons and tools before the next stage. All of which were now lost to the void and potentially in Tri-Tachyon hands, as for reasons unknown, the project's sole experimental frigate was deployed alongside some backwater Hegemony militia fleet against a Tri-Tachyon drone taskforce. A deployment that resulted in a crushing defeat for the militia fleet, wiped to last ship alongside the experimental frigate.

Ironically, unbeknownst to the Yards and Tri-Tachyon, the experimental frigate survived the battle and fled from Tri-Tachyon forces. Against all odds, it would escape but without enough fuel to return back to friendly territory, it would be stranded in a system long after the AI wars had came and went... until the remnants of the first war found it in hibernation. Waste not, want not as the old adage went.",,,,
ywy_lohenli_dd_base,SHIP,"One of Yoshgramm-wen's first produced designs and widely popular, the Lohen-li was designed to be a low cost, easily assembled, and capable workhorse vessel for low income buyers. Intended to operate in groups of itself or with similar ships, the Lohen-li are to be used as a literal line of guns in a battle - hence its official designation as a ""line destroyer."" Characteristic of this ""wall of guns"" belief that Yoshgramm-wen subscribes to, the Lohen-li mounts a spinal weapon along its length - a Metal Storm Launching System - and forward facing missile hardpoints.

Said to be the first design to be drawned up in the infancy of Yoshgramm-wen Yards, the Lohen-li's release on the pre-Collapse market was what propelled the Yards into renown and popularity. Its low price, easy nanoforge-optional assembly, and overall performance were (and still are) attractive points that saw the ship proliferate the Domain's frontiers. Used extensively by Domain patrol groups as effective gap fillers and by independent groups as screening vessels, the Lohen-li serves admirably well in its role as a ""line destroyer.""",,,,
ywy_wuhauser_cve_base,SHIP,"The first carrier design of Yoshgramm-wen Yards, the Wuhauser was similiarly designed like the Lohen-li to be a cost-effective and easily assembled vessel for low income clients. Out of the all of the components of the vessel, the arguably most expensive would be the unique ECM systems built into the stylish ""wings"" that protrude from the Wuhauser's rear. While not exactly designed to be used en-masse like the Lohen-li, the Wuhauser offers an effective escort carrier choice for merchant and frontier fleets - helped by Yoshgramm-wen's fine-tuned engines that aim for fuel efficiency and travel range.

Following the Lohen-li-class's success, Yoshgramm-wen Yards drew up the Wuhauser-class escort carrier as a companion ship and to bank on their earned renown. While slightly pricier due to the built-in ECM systems, the same attributes that made the Lohen-li popular applied the same to the Wu-hauser. Though never sighted in significant numbers, the allure of an affordable and effective carrier meant that it was a common sight to see a Wuhauser alongside another or with a Condor in Domian patrols and independent frontier fleets.",,,,
ywy_lichterbo_cv_base,SHIP,"A departure from the boxy rectangle designs, the Lichter-bo was designed to be a step above the Wuhauser-class escort carrier. While not comparably easy to assemble and significantly more expensive, the design has the capacity for four strikecraft wings, a temporary fifth wing, and the ability to enter and enact operations in planetary atmospheres. Marketed as a fleet carrier, the Licther-bo offers not only a choice command vessel but a major support tool for ground operations for those that need it. With its Electronic Warfare Suite supporting its four wings, the carrier also proves to be an cost-effective substitute for an Astral-class capital carrier.

To follow up the Wuhauser-class's success, designers and engineers at Yoshgramm-wen Yards set off to develop a larger carrier that would expand on the capabilites of the Wuhauser-class while still catering to their low-income clients. What resulted was significantly more than an enlarged Wuhauser-class. Doubled wing capacity, an active electronic warfare weapon, and the capacity for fleet command elevated the Lichter-bo-class as a choice fleet leader for militia and independent fleets. But the Yards's would specifically champion the carrier's most prominent feature as its primary selling point.

The Lichter-bo-class carrier's resemblance to bluewater hulls was an intentional choice by the Yards, to facilitate cost-cutting measures and atmospheric entry and exit. The catapult systems on all three decks - viewed as redunant in the void of space - would allow the carrier to launch strikecraft in the atmosphere. While not necessarily a major draw, the ability to support ground operations appealed greatly to buyers, especially with militia fleets that often fended off pirate raids and Domain units that raided rebel and pirate holds.",,,,
ywy_luohoff_ca_base,SHIP,"As a companion ship to the Lichter-bo-class fleet carrier, the Luohoff can fulfill multiple roles in a fleet - carrier escort, wolfpack anchor, offensive spearhead. Easily the most expensive product in Yoshgramm-wen Yard's catalogue, the Luohoff-class boasts a powerful potential with its array of mounts and - as expected of the Yards's subscription to the ""wall of guns"" vision of space warfare - a battery of powerful beam projectors on the bow. While not as comprehensively focused like the Aurora-class or the Dominator-class, the weapon mount layout of the Luohoff allows a degree of versatility in a client's choice of armament and role for the heavy cruiser.

A curiously aquatic-inspired design, the Luohoff was a logical creation as the Yards needed a balanced heavy hitter to round out their catalogue. While not as popular as the affordable Lohen-li-class and Wuhauser-class, or the versatile Lichter-bo-class, the Luohoff stands at a respectable level of weapons and armor compared to other cruisers of its size. For frontier fleets strapped for money - frequent customers for Yoshgramm-wen Yards - the Luohoff's relatively heavy and flexible armament potential was worth its weight in its price tag.",,,,
,,,,,,
ywy_fightbomb_craft,SHIP,"Designed to be a slightly costlier but effective alternative for the Broadsword, the Type 157 Vonlubu strikecraft addresses the lack of killing power against larger vessels with a payload of over-the-wing mounted missiles and a pair of energy vulcans on the nose.

Revealed and released to the public market alongside the Lichter-bo-class fleet carrier, the Vonlubu strikecraft was Yoshgramm-wen Yards's answer to the ubiquitous Broadsword. While higher in price and weight, the use of energy weapons and the addition of high-explosive missiles give the Vonlubu a considerable step up in firepower over the Broadsword and a degree of strategic flexibility. Additionally, because the strikecraft was designed and released alongside the exoatmospheric Lichter-bo-class fleet carrier, its aeronautical frame allows for smooth operation in planetary atmosphere.",,,,
ywy_fightbomb_SUPERcraft,SHIP,"Equipped with the Special Arsenal Upgrade Package [SAUP] and modified to handle it, the Type 157-S Vonlubu - popularly known as the 'Super Vonlubu' - features a heavier set of armaments that allows it to punch targets beyond its hull size, and a pinpoint omni shield for better survivability. However, the this comes at the cost of agility, armor, and structural integrity due to the package's added bulk and power requirements.

While the base Vonlubu fighter is serviceable as a Broadsword alternative, there were those that believed it could be better. To avoid obsolescence against other models from the Yards, and to make the Vonlubu more appealing, the Special Arsenal Upgrade Package, or SAUP, was devised. While the package requires that removal of the CES and the ESPV from the base model, the installment of a heavier Energy Storm weapon, a rack of anti-ship MIRVs, and wing-mounted micromissile pods makes it a worthy tradeoff. With the loss of the CES and added mass, however, even with the SAUP's added engines the Super Vonlubu noticeably lacks the agility of the base model; though it is considerably faster thanks to the added engines.",,,,
ywy_heavyinter_craft,SHIP,"A multirole aerospace asset designed primarily for ground attack, the Type-327 Xuoffen is a highly flexible asset on a strategic and tactical scale compared to the Vonlubu. Its wing hardpoints allow it to carry a multitude of loadouts, although operations in the void normally have the Xuoffen kitted as an interceptor with Metal Storm and flak pods.

With the success of the Type 157 Vonlubu, Yoshgramm-wen Yards would further exploit the market for aerospace strikecraft with the Type-327 Xuoffen. A twin engine configuration balances the need for speed with the ability to carry an impressive array of equipment under the wings, including missile pods to 4-ton bombs designed to bust bunkers. While the Xuoffen is an impressive (albeit fragile) weapons platform for an interceptor, its truly shines as a ground attack craft where its ability to ferry heavy munitions is a blessing for ground pounders facing armor or fortified positions.",,,,
